;ashp;wshp;gshp;gas;oil;LTDHN
k_prod;1014.4736736992451;2261.47755927541;3191.935268093075;945.0;880.0;2261.47755927541
i_prod;4519636.358476001;10075230.600620676;14220562.904279178;4210120.449144386;3920535.444705883;10075230.600620676
i_dis;0.0;0.0;0.0;0.0;0.0;580382.8172153804
i_aux;0.0;0.0;0.0;0.0;0.0;1521649.26
i_con;0.0;0.0;0.0;0.0;0.0;253608.21
share_equip;0.27;0.27;0.27;0.37;0.37;0.37
share_inst;0.73;0.73;0.73;0.63;0.63;0.63
k_O&M;0.01;0.01;0.01;0.025;0.025;0.025
eta;3.0;4.0;3.7;0.87;0.83;0.83
lifetime;25.0;25.0;25.0;20.0;20.0;20.0
price;0.201;0.201;0.201;0.093;0.078;0.078
I_inv_tot;4519636.358476001;10075230.600620676;14220562.904279178;4210120.449144386;3920535.444705883;12430870.887836058
I_inv_yearly;259553.0939383128;578599.043621918;816656.6525707489;282986.2250572461;263521.5640744725;835549.7827710966
I_O&M_yearly;45196.36358476001;100752.30600620677;142205.62904279178;105253.01122860966;98013.38611764708;310771.77219590143
I_energy_yearly;566391.669;424793.75175000005;459236.4883783784;903661.4379310344;794435.3566265061;794435.3566265061
I_yearly;871141.1265230728;1104145.1013781247;1418098.7699919192;1291900.6742168902;1155970.3068186257;1940756.9115935043
I_inv_yearly_lt_corrected;312848.3457085828;697405.4937241707;984344.5858880382;364279.64367049927;339223.3718836395;1075578.067714234
LCOH;0.10935407551987486;0.14466624146123394;0.18758699136465753;0.16243883738978443;0.1456978204247953;0.25797096985188
